,x,y,z,joint1,joint2,joint3,joint4,joint5,joint6,gripper
51,-11.792807705759149,238.25479547381735,184.32867498413088,89.865966,25.064955,28.087193,-3.054209,-90.133652,-9.272462,1.0
52,-11.751951294175779,238.26175299143767,184.31586813906517,89.865966,25.064955,28.087193,-3.559558,-90.065012,-9.327409,1.0
53,-11.751284104936024,238.25278967001088,184.2857363806991,89.865966,25.064955,28.087193,-3.812232,-89.767475,-9.338353,1.0
54,-11.80934615485498,238.2228046517061,184.23871105996957,89.865966,25.064955,28.087193,-4.229746,-89.767475,-9.327409,1.0
55,-11.93642018092576,238.17084583398162,184.1817170158618,89.865966,25.064955,28.087193,-3.900124,-89.767475,-7.283955,1.0
56,-12.119180564110627,238.10325654127897,184.12412554924077,89.865966,25.064955,28.087193,-5.44923,-89.767475,-5.723848,1.0
57,-12.297807930104574,238.04008776844677,184.07780056914504,89.865966,25.064955,28.087193,-6.712659,-89.758308,-6.031469,1.0
58,-12.406250416256182,238.00260855305942,184.05278290478762,89.865966,25.064955,28.087193,-7.569575,-89.753724,-7.108172,1.0
59,-12.417532231975919,237.99778936838982,184.04735121866432,89.865966,25.064955,28.087193,-6.954333,-89.753724,-7.3169,1.0
60,-12.338040041213423,238.02068469786641,184.05084123031304,89.865966,25.064955,28.087193,-5.690903,-89.753724,-7.3169,1.0
61,-12.181837985850168,238.06471533417508,184.05492894823237,89.865966,25.064955,28.087193,-4.801043,-89.753724,-7.3169,1.0
62,-11.967624174992686,238.12403994248686,184.0593977583296,89.865966,25.064955,28.087193,-4.284693,-89.744557,-7.196063,1.0
63,-11.721711842505405,238.19136092008358,184.06571730024817,89.865966,25.064955,28.087193,-0.428458,-89.739973,-6.987278,1.0
64,-11.498565473655251,238.25161556806682,184.0713368185757,89.865966,25.064955,28.087193,1.186538,-89.735389,-6.745604,1.0
65,-11.368273539764616,238.2855740181375,184.0713621006751,89.877712,25.064955,28.087193,-0.966809,-89.735389,-7.360846,1.0
66,-11.361793307886135,238.28621318861474,184.06772422879433,90.606686,25.065528,28.087193,0.153782,-89.735389,-7.448738,1.0
67,-11.425079348967436,238.2725858360097,184.0764419673961,92.907341,25.066846,28.087193,3.098155,-89.735389,-7.844251,1.0
68,-11.489932723440045,238.26643685340883,184.11068381472805,95.97066,25.071659,28.087193,6.108418,-89.726279,-9.085678,1.0
69,-11.542408611755652,238.2656534830809,184.15187949654285,99.169426,25.083634,28.087193,9.722922,-89.721696,-10.788566,1.0
70,-11.60968754055451,238.25213364116485,184.16421992241527,102.330835,25.14431,28.087193,12.612291,-89.721696,-12.788074,1.0
71,-11.702090682653433,238.2266669509018,184.15937496049293,105.495224,25.544521,28.087193,16.248797,-89.652998,-15.117205,1.0
72,-11.782335916031647,238.23257745707264,184.24775714349187,108.460796,26.710719,28.087652,19.720462,-89.543162,-15.457771,1.0
73,-11.806344852916101,238.3148547947568,184.5401586223604,111.005645,29.504576,28.088167,22.192374,-89.543162,-13.447262,1.0
74,-11.764705424083601,238.46864094195783,185.01682926836622,112.544495,33.22439,28.754403,23.609643,-89.543162,-11.909157,1.0
75,-11.67413785493242,238.65338154152906,185.5662185946717,112.922418,37.487769,32.324503,22.379159,-89.543162,-12.030051,1.0
76,-11.544648469213802,238.84514190280225,186.1287499365888,112.922418,41.855254,37.307918,21.577132,-89.543162,-12.722184,1.0
77,-11.364781090458688,239.06455202928956,186.77902320478466,112.934508,46.190253,40.262489,21.64308,-89.543162,-13.194588,1.0
78,-11.123006513446553,239.3404318730619,187.628430135024,112.955478,49.832202,41.53394,19.643572,-89.547746,-13.06275,1.0
79,-10.835795456515084,239.67829128569971,188.77100813106236,113.019649,52.708565,41.699181,19.160167,-89.872727,-12.897968,1.0
