timestamp,x,y,z,roll,pitch,yaw,gripper
140,-133.2096,231.13034,183.4146,-150.548557,-84.935779,56.707065,0
142.7777778,-133.20082,231.13159,183.4163,-150.548557,-84.935779,56.707065,0
145.5555556,-133.18387,231.13393,183.41957,-150.548557,-84.935779,56.707065,0
148.3333333,-133.15901,231.13728,183.42433,-150.548557,-84.935779,56.707065,0
151.1111111,-133.12708,231.1414,183.4304,-150.548557,-84.935779,56.707065,0
153.8888889,-133.0884,231.1462,183.43771,-150.548557,-84.935779,56.707065,0
156.6666667,-133.04362,231.15146,183.4461,-150.548557,-84.935779,56.707065,0
159.4444444,-132.993,231.15712,183.45554,-150.548557,-84.935779,56.707065,0
162.2222222,-132.9376,231.16306,183.46579,-150.548557,-84.935779,56.707065,0
165,-132.8779,231.16922,183.47679,-150.548557,-84.935779,56.707065,0
167.7777778,-132.81479,231.17555,183.48836,-150.548557,-84.935779,56.707065,0
170.5555556,-132.74861,231.18202,183.50043,-150.548557,-84.935779,56.707065,0
173.3333333,-132.68037,231.18864,183.51283,-150.548557,-84.935779,56.707065,0
176.1111111,-132.61047,231.19542,183.52551,-150.548557,-84.935779,56.707065,0
178.8888889,-132.53964,231.2024,183.53836,-150.548557,-84.935779,56.707065,0
181.6666667,-132.46812,231.20958,183.55135,-150.548557,-84.935779,56.707065,0
184.4444444,-132.39676,231.21706,183.56436,-150.548557,-84.935779,56.707065,0
187.2222222,-132.32588,231.22487,183.57738,-150.548557,-84.935779,56.707065,0
190,-132.2561,231.23312,183.59035,-150.548557,-84.935779,56.707065,0
192.7777778,-132.18762,231.24185,183.60326,-150.548557,-84.935779,56.707065,0
195.5555556,-132.121,231.25116,183.61606,-150.548557,-84.935779,56.707065,0
198.3333333,-132.05643,231.2611,183.62875,-150.548557,-84.935779,56.707065,0
201.1111111,-131.99426,231.27174,183.64133,-150.548557,-84.935779,56.707065,0
203.8888889,-131.93457,231.28313,183.6538,-150.548557,-84.935779,56.707065,0
206.6666667,-131.87761,231.29532,183.66614,-150.548557,-84.935779,56.707065,0
209.4444444,-131.82344,231.30833,183.67838,-150.548557,-84.935779,56.707065,0
212.2222222,-131.77217,231.32222,183.6905,-150.548557,-84.935779,56.707065,0
215,-131.72382,231.33698,183.70253,-150.548557,-84.935779,56.707065,0
217.7777778,-131.67839,231.3526,183.71445,-150.548557,-84.935779,56.707065,0
