timestamp,x,y,z,roll,pitch,yaw,joint1,joint2,joint3,joint4,joint5,joint6
1717052126.606087,-44.042274,196.427887,185.431824,65.361135,-86.467983,-149.32088,106.698894,27.395404,18.69567,11.173078,-100.18614,-1.406268
1717052126.722348,-44.10004,196.422104,185.430328,65.331914,-86.476463,-149.237343,106.699008,27.395175,18.69567,11.118189,-100.18614,-1.406268
1717052126.831702,-44.203674,196.41156,185.429596,69.698769,-85.770636,-153.516707,106.699008,27.394831,18.69567,11.019296,-100.18614,-2.186292
1717052126.941057,-43.928619,196.440216,185.441711,69.805224,-85.718898,-153.883515,106.699008,27.394545,18.69567,11.282971,-100.18614,-2.197293
1717052127.0504098,-43.814381,196.451797,185.447098,69.826023,-85.701595,-154.012602,106.699123,27.394315,18.69567,11.392807,-100.18614,-2.197293
1717052127.1611178,-43.849232,196.448502,185.446487,69.816111,-85.706751,-153.970032,106.699237,27.394086,18.69567,11.359862,-100.18614,-2.197293
1717052127.265554,-43.91811,196.441833,185.444489,69.798922,-85.717064,-153.887812,106.699237,27.393857,18.69567,11.293972,-100.18614,-2.197293
1717052127.3749125,-43.598503,196.473145,185.486206,70.486357,-85.464447,-154.881493,106.699352,27.392883,18.69567,11.601536,-100.209058,-2.406022
1717052127.484271,-44.345993,196.397385,185.467728,79.199956,-82.046754,-162.938024,106.699352,27.392539,18.69567,10.887459,-100.209058,-6.053471
1717052127.5936313,-45.436428,196.473541,186.940872,75.34034,-80.592186,-158.203388,106.700097,27.186217,18.703348,9.93165,-100.918551,-7.525629
1717052127.70452,-47.963051,199.346283,195.647552,60.396971,-78.605226,-142.102701,106.700211,25.236556,19.079495,8.459493,-101.893611,-8.898951
1717052127.8144915,-50.730675,208.045456,216.988678,48.521447,-71.938518,-131.238561,106.700211,20.371629,20.600583,8.415547,-101.820387,-13.590101
1717052127.9238248,-53.832172,219.945938,243.612091,42.693606,-68.239904,-126.790174,106.700097,13.821117,23.375303,8.855005,-96.542357,-16.391578
1717052128.033219,-58.908302,235.550888,271.937531,49.934819,-71.904771,-132.971014,106.69855,6.932789,27.595137,8.65722,-81.280538,-16.907985
1717052128.142567,-63.124355,247.838257,305.799622,68.295079,-73.86039,-150.224377,106.679871,0.158767,33.153229,9.129624,-63.432329,-19.775409
1717052128.2542236,-63.892796,251.262955,345.254089,69.075162,-72.281663,-150.500085,106.350707,-5.787504,38.243271,9.030789,-52.775601,-22.631833
1717052128.363581,-61.889423,248.429565,373.55011,69.032877,-71.373467,-149.813853,105.746065,-10.222427,41.440089,8.195817,-45.410171,-23.631587
1717052128.4729404,-60.150257,243.703049,394.978027,73.305996,-70.460975,-152.989242,105.273718,-13.706984,44.061887,7.053225,-38.168328,-24.455558
1717052128.582303,-59.797543,238.739746,411.438751,78.172184,-69.357572,-156.817804,105.256701,-16.204851,46.378011,6.547876,-31.942741,-25.751932
1717052128.6916556,-59.545708,236.372772,414.193817,85.057762,-69.045998,-162.953437,105.256472,-17.16679,46.902726,6.613766,-28.065478,-26.521013
1717052128.8032162,-59.339718,236.441742,414.117401,85.267464,-68.511027,-163.366826,105.2563,-17.158539,46.899117,7.042224,-28.060894,-27.443819
1717052128.9125803,-59.137672,237.531052,409.044006,92.13339,-69.711546,-170.204561,105.256358,-16.781189,46.616419,8.415547,-26.298534,-27.487765
1717052129.0232542,-58.165894,240.370621,387.878357,110.117274,-71.041209,171.184606,105.256358,-15.202346,44.25801,12.359616,-24.760428,-28.267847
1717052129.1394613,-58.780533,243.525864,349.832886,112.224556,-70.980246,169.155247,105.256358,-11.01391,38.53124,9.316408,-33.874525,-24.55445
1717052129.2541828,-58.467293,241.442581,308.889252,100.521778,-72.106223,-179.239304,105.255842,-4.830263,32.064724,6.196309,-50.248742,-21.093728
1717052129.3668327,-55.174236,234.227753,272.749725,99.439461,-73.84578,-179.287776,105.256472,1.433483,27.08022,6.547876,-62.081925,-18.566869
1717052129.4705718,-51.88039,227.571259,248.748749,103.12358,-75.408408,175.845617,105.256816,6.402059,24.291864,7.503684,-69.163512,-16.336688
1717052129.5799167,-48.530312,221.085678,228.738144,112.275434,-77.170941,165.424088,105.256816,11.004342,22.360595,8.690165,-74.121086,-13.436261
1717052129.6892748,-45.731213,213.151077,213.386505,101.775353,-77.858948,175.196227,105.256816,16.056512,20.565518,8.942897,-83.267212,-12.436507
1717052129.8007963,-45.206524,207.755707,201.579819,93.82075,-77.335838,-176.096344,105.256816,20.667791,19.885703,7.987032,-90.133652,-12.392561
1717052129.9147723,-44.892605,204.166779,190.556396,92.33381,-78.548789,-174.016793,105.25716,25.023645,19.884386,7.38279,-94.839469,-10.667729
1717052130.024117,-43.123753,201.136902,185.025925,80.032406,-78.371001,-162.806817,105.25716,28.307266,19.884386,8.393545,-100.611904,-10.140379
1717052130.1334865,-41.891071,199.32251,181.110382,75.871644,-79.885557,-159.321171,105.25716,29.968615,19.884386,9.096679,-102.612329,-8.118869
1717052130.2428408,-41.822117,199.284698,181.007492,71.373181,-82.274276,-154.82116,105.257274,30.008607,19.884386,9.151626,-102.653525,-5.614012
