timestamp,x,y,z,roll,pitch,yaw,joint1,joint2,joint3,joint4,joint5,joint6
1717057485.8226533,-37.378109,217.518066,187.203552,51.769544,-79.870947,-128.422302,99.30642,30.665904,24.146963,-4.152855,-103.038037,-8.415547
1717057485.924991,-37.433388,217.546021,186.859558,52.295691,-80.278721,-128.867547,99.30642,30.665904,24.146963,-4.196801,-102.717582,-8.151872
1717057486.038193,-37.664421,217.603134,185.811798,54.547817,-81.440164,-130.823396,99.30642,30.665904,24.146963,-4.394529,-101.742579,-7.448738
1717057486.1472845,-37.745037,217.631561,185.304977,56.521714,-81.857162,-132.694046,99.30642,30.665904,24.146963,-4.460476,-101.271035,-7.272954
1717057486.2474325,-38.435417,217.455933,185.305634,56.198451,-81.924886,-131.69773,99.30642,30.665904,24.146963,-5.141609,-101.271035,-7.272954
1717057486.3550222,-38.757614,217.370987,185.30629,56.043466,-81.956227,-131.227962,99.30642,30.665904,24.146963,-5.46023,-101.271035,-7.272954
1717057486.4572153,-39.559639,217.157837,185.237549,64.384528,-79.750855,-138.886173,99.30642,30.665904,24.146963,-6.251199,-101.197811,-9.942651
1717057486.5715256,-39.831005,217.086212,185.183701,72.59805,-75.314615,-147.018335,99.30642,30.665675,24.146963,-6.514874,-101.133754,-14.754637
1717057486.680956,-40.947865,216.836212,184.198212,78.198999,-73.015507,-151.515137,99.30642,30.665675,24.146963,-7.591576,-100.204474,-17.490224
1717057486.7927017,-45.271332,215.849838,185.359451,75.420612,-74.037091,-144.551751,99.306821,30.489262,24.229354,-11.876212,-100.447065,-16.776147
1717057486.9034953,-50.498184,227.143402,203.46759,57.240718,-71.833266,-123.838926,99.311806,27.503177,26.832588,-15.029313,-100.740075,-15.611553
1717057487.0149758,-56.914921,250.202438,234.467133,62.633855,-69.428963,-127.112749,99.311806,20.580472,32.333842,-17.138657,-88.316345,-15.029313
1717057487.120746,-61.920109,271.532227,280.540466,72.386457,-66.674698,-135.694855,99.311806,12.183375,39.15903,-19.127222,-71.676619,-13.886721
1717057487.23014,-61.507175,281.010345,341.100342,74.715587,-62.474344,-140.608484,99.309915,3.646704,46.14774,-19.138165,-56.776451,-13.666991
1717057487.3394492,-56.777966,275.772766,393.445709,80.72093,-62.178125,-150.006825,99.286825,-4.253123,52.1599,-18.973383,-40.045166,-11.55759
1717057487.4487967,-55.173321,262.373474,429.811462,82.923322,-57.690433,-151.912827,99.287742,-9.950673,56.012583,-24.993909,-30.871596,-9.272462
1717057487.561006,-57.620071,256.947937,434.098083,84.307932,-55.18168,-150.093571,99.286539,-11.118475,56.001353,-31.706568,-30.761703,-5.482175
1717057487.6696265,-60.767063,258.596161,418.606415,90.634074,-53.290174,-152.477763,99.286539,-10.028767,54.193041,-37.243632,-31.544478,-3.559558
1717057487.7788937,-61.354462,266.782623,381.345306,94.944091,-58.77636,-156.681153,99.286539,-5.875911,49.526357,-31.069324,-36.653141,-5.866687
1717057487.8883297,-61.042713,271.206635,329.193268,98.307124,-63.739263,-160.56999,99.286825,0.945037,43.241755,-23.917264,-46.966554,-10.085432
1717057487.9976864,-57.141171,265.200287,279.027588,88.460444,-66.643128,-154.177614,99.286825,9.25006,36.548233,-16.347632,-64.700342,-15.864285
1717057488.1089523,-49.45829,254.168533,242.081161,82.63839,-72.342568,-153.865925,99.286825,16.266787,31.803226,-9.667975,-77.25677,-14.864473
1717057488.2185655,-42.942627,241.050659,220.16098,67.993475,-73.586631,-143.573712,99.287054,21.763229,28.36164,-5.504176,-89.817781,-14.55691
1717057488.3278115,-40.419731,231.694733,209.08345,58.653689,-72.524367,-135.416054,99.287742,25.278669,26.570116,-4.70215,-97.998071,-14.864473
1717057488.4372685,-40.936787,230.603897,204.289246,60.627644,-73.684492,-136.545869,99.288372,26.46641,26.533962,-5.438229,-98.117074,-14.018558
1717057488.5466192,-40.503315,230.841446,203.332947,60.473346,-75.548324,-136.632672,99.288601,26.47277,26.533962,-4.921879,-97.302271,-12.568345
1717057488.65733,-40.182198,230.941803,203.199493,64.3847,-73.783442,-140.975062,99.288601,26.47277,26.533962,-4.603258,-97.146598,-14.6228
1717057488.7666817,-40.667873,230.877121,202.747986,64.901508,-74.487435,-140.94418,99.288601,26.47277,26.533962,-5.064718,-96.752919,-14.040503
